,id,date,hour,hostname,ip_address,sample_name,method_name,file_name,name,rt_min,area,height,usp_resolution,tailing,sst,numb,comment,created_at
0,1,2023-10-16,11:55:58,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-16 12-57-01+01-00.csv,QC1,0.42,210.7878,171.4730,,1.50,PASS,4.00,['All peaks found'],2023-10-16T11:55:58.227082Z
1,2,2023-10-16,11:55:58,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-16 12-57-01+01-00.csv,QC2,0.71,352.3137,479.1820,11.6100,1.40,PASS,4.00,['All peaks found'],2023-10-16T11:55:58.233478Z
2,3,2023-10-16,11:55:58,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-16 12-57-01+01-00.csv,QC3,1.00,285.7858,288.9300,13.4400,0.90,PASS,4.00,['All peaks found'],2023-10-16T11:55:58.236324Z
3,4,2023-10-16,11:55:58,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-16 12-57-01+01-00.csv,QC4,3.20,162.1239,150.1750,82.6600,1.30,PASS,4.00,['All peaks found'],2023-10-16T11:55:58.239334Z
4,1226,2023-11-15,06:25:56,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-11-15 06-27-59+00-00.csv,QC1,0.38,67.3139,57.1430,,1.40,PASS,4.00,['All peaks found'],2023-11-15T06:25:56.861736Z
5,1227,2023-11-15,06:25:56,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-11-15 06-27-59+00-00.csv,QC2,0.67,110.8552,188.5550,1.0800,1.30,PASS,4.00,['All peaks found'],2023-11-15T06:25:56.866823Z
6,1228,2023-11-15,06:25:56,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-11-15 06-27-59+00-00.csv,QC3,1.25,90.5430,111.9970,32.5600,1.20,PASS,4.00,['All peaks found'],2023-11-15T06:25:56.876374Z
7,1229,2023-11-15,06:25:56,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-11-15 06-27-59+00-00.csv,QC4,3.15,215.7776,229.5690,33.5900,1.10,PASS,4.00,['All peaks found'],2023-11-15T06:25:56.880782Z
8,1234,2023-11-23,17:44:01,DESKTOP-REMA8OU,10.0.4.33,Plat 1A S1-EVENT,1A_S1_6mins_QC.amx,Plat 1A S1-EVENT 2023-11-23 17-45-45+00-00.csv,QC1,0.39,84.3513,42.4610,,2.30,FAIL,4.00,['All peaks found'],2023-11-23T17:44:01.055334Z
9,1235,2023-11-23,17:44:01,DESKTOP-REMA8OU,10.0.4.33,Plat 1A S1-EVENT,1A_S1_6mins_QC.amx,Plat 1A S1-EVENT 2023-11-23 17-45-45+00-00.csv,QC2,0.63,86.6536,116.5880,7.8500,1.20,PASS,4.00,['All peaks found'],2023-11-23T17:44:01.062767Z
10,1236,2023-11-23,17:44:01,DESKTOP-REMA8OU,10.0.4.33,Plat 1A S1-EVENT,1A_S1_6mins_QC.amx,Plat 1A S1-EVENT 2023-11-23 17-45-45+00-00.csv,QC3,1.24,81.3183,76.4050,15.4500,1.30,PASS,4.00,['All peaks found'],2023-11-23T17:44:01.066437Z
11,1237,2023-11-23,17:44:01,DESKTOP-REMA8OU,10.0.4.33,Plat 1A S1-EVENT,1A_S1_6mins_QC.amx,Plat 1A S1-EVENT 2023-11-23 17-45-45+00-00.csv,QC4,3.17,187.5407,141.1960,48.6400,1.30,PASS,4.00,['All peaks found'],2023-11-23T17:44:01.069621Z
12,1242,2023-11-23,18:20:05,DESKTOP-REMA8OU,10.0.4.33,Plat 2A S1-EVENT,2A_S1_6mins_QC.amx,Plat 2A S1-EVENT 2023-11-23 18-21-50+00-00.csv,QC1,0.32,86.8152,56.4210,,1.70,PASS,4.00,['All peaks found'],2023-11-23T18:20:05.120089Z
13,1243,2023-11-23,18:20:05,DESKTOP-REMA8OU,10.0.4.33,Plat 2A S1-EVENT,2A_S1_6mins_QC.amx,Plat 2A S1-EVENT 2023-11-23 18-21-50+00-00.csv,QC2,0.57,129.6877,152.9910,1.0200,1.70,PASS,4.00,['All peaks found'],2023-11-23T18:20:05.124999Z
14,1244,2023-11-23,18:20:05,DESKTOP-REMA8OU,10.0.4.33,Plat 2A S1-EVENT,2A_S1_6mins_QC.amx,Plat 2A S1-EVENT 2023-11-23 18-21-50+00-00.csv,QC3,1.15,107.8192,95.3260,25.9400,1.40,PASS,4.00,['All peaks found'],2023-11-23T18:20:05.127850Z
